Timestamp: 1040735, AX: -5.85, AY: -6.09, AZ: 4.43, GX: 0.01, GY: -0.02, GZ: 0.04, Temp: 35.26
Timestamp: 1040779, AX: -6.15, AY: -5.45, AZ: 4.28, GX: 0.19, GY: 0.08, GZ: 0.02, Temp: 35.12
Timestamp: 1040823, AX: -5.93, AY: -5.98, AZ: 4.13, GX: 0.05, GY: 0.17, GZ: -0.04, Temp: 35.21
Timestamp: 1040867, AX: -5.88, AY: -6.44, AZ: 4.64, GX: -0.01, GY: -0.13, GZ: 0.11, Temp: 35.17
Timestamp: 1040911, AX: -6.48, AY: -6.01, AZ: 4.26, GX: -0.04, GY: 0.05, GZ: 0.00, Temp: 35.21
Timestamp: 1040955, AX: -6.00, AY: -5.46, AZ: 4.52, GX: 0.14, GY: 0.07, GZ: 0.16, Temp: 35.21
Timestamp: 1040999, AX: -6.21, AY: -5.76, AZ: 4.24, GX: 0.07, GY: 0.01, GZ: -0.01, Temp: 35.21
Timestamp: 1041043, AX: -6.03, AY: -5.89, AZ: 4.30, GX: -0.18, GY: -0.04, GZ: -0.04, Temp: 35.21
Timestamp: 1041087, AX: -6.07, AY: -6.09, AZ: 4.51, GX: 0.08, GY: -0.08, GZ: 0.02, Temp: 35.07
Timestamp: 1041131, AX: -6.08, AY: -6.22, AZ: 4.15, GX: 0.03, GY: 0.14, GZ: 0.07, Temp: 35.17
Timestamp: 1041175, AX: -6.16, AY: -5.20, AZ: 4.36, GX: -0.02, GY: -0.10, GZ: 0.12, Temp: 35.21
Timestamp: 1041219, AX: -6.36, AY: -5.53, AZ: 4.64, GX: 0.09, GY: -0.09, GZ: 0.12, Temp: 35.21
Timestamp: 1041263, AX: -5.92, AY: -5.04, AZ: 4.52, GX: 0.01, GY: 0.01, GZ: -0.02, Temp: 35.07
Timestamp: 1041307, AX: -6.17, AY: -6.05, AZ: 4.44, GX: -0.09, GY: -0.10, GZ: 0.02, Temp: 35.17
