Timestamp: 141277, AX: 6.09, AY: -1.44, AZ: -7.92, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.06
Timestamp: 141320, AX: 6.11, AY: -1.47, AZ: -7.89, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.11
Timestamp: 141363, AX: 6.06, AY: -1.42, AZ: -7.88, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.11
Timestamp: 141406, AX: 6.11, AY: -1.45, AZ: -7.93, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.15
Timestamp: 141449, AX: 6.08, AY: -1.44, AZ: -8.00, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.15
Timestamp: 141492, AX: 6.11, AY: -1.41, AZ: -7.95, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.11
Timestamp: 141535, AX: 6.07, AY: -1.46, AZ: -7.94, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.01
Timestamp: 141578, AX: 6.14, AY: -1.50, AZ: -7.92, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.06
Timestamp: 141621, AX: 6.11, AY: -1.47, AZ: -7.98, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.15
Timestamp: 141664, AX: 6.09, AY: -1.51, AZ: -7.95, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.15
Timestamp: 141712, AX: 6.11, AY: -1.42, AZ: -7.84, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.11
Timestamp: 141755, AX: 6.15, AY: -1.41, AZ: -7.97, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.06
Timestamp: 141798, AX: 6.10, AY: -1.47, AZ: -7.91, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.01
Timestamp: 141842, AX: 6.12, AY: -1.47, AZ: -7.87, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.11
Timestamp: 141885, AX: 6.14, AY: -1.48, AZ: -7.95, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.01
Timestamp: 141928, AX: 6.11, AY: -1.44, AZ: -7.86, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.06
Timestamp: 141971, AX: 6.15, AY: -1.45, AZ: -7.87, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.06
Timestamp: 142014, AX: 6.15, AY: -1.42, AZ: -8.02, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.11
Timestamp: 142058, AX: 6.14, AY: -1.49, AZ: -8.02, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.11
Timestamp: 142101, AX: 6.14, AY: -1.47, AZ: -7.93, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.06
Timestamp: 142144, AX: 6.12, AY: -1.44, AZ: -7.86, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.06
Timestamp: 142187, AX: 6.15, AY: -1.46, AZ: -7.85, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.11
Timestamp: 142230, AX: 6.12, AY: -1.41, AZ: -7.98, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.11
Timestamp: 142273, AX: 6.10, AY: -1.42, AZ: -7.99, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.15
Timestamp: 142316, AX: 6.15, AY: -1.49, AZ: -7.96, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.06
Timestamp: 142359, AX: 6.10, AY: -1.47, AZ: -7.88, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.15
Timestamp: 142402, AX: 6.09, AY: -1.45, AZ: -7.91, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.11
Timestamp: 142445, AX: 6.17, AY: -1.40, AZ: -7.92, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.06
Timestamp: 142488, AX: 6.09, AY: -1.43, AZ: -7.89, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.15
Timestamp: 142531, AX: 6.16, AY: -1.43, AZ: -7.83, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.20
Timestamp: 142574, AX: 6.11, AY: -1.45, AZ: -7.95, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.20
Timestamp: 142617, AX: 6.17, AY: -1.48, AZ: -7.87, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.11
Timestamp: 142661, AX: 6.16, AY: -1.53, AZ: -7.90, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.25
Timestamp: 142704, AX: 6.16, AY: -1.46, AZ: -7.87, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.11
Timestamp: 142747, AX: 6.09, AY: -1.43, AZ: -7.87, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.11
Timestamp: 142790, AX: 6.05, AY: -1.50, AZ: -7.89, GX: 0.05, GY: -0.01, GZ: 0.01, Temp: 28.06
Timestamp: 142833, AX: 6.18, AY: -1.47, AZ: -7.91, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.06
Timestamp: 142876, AX: 6.12, AY: -1.43, AZ: -7.89, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.11
Timestamp: 142919, AX: 6.12, AY: -1.47, AZ: -7.81, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.11
Timestamp: 142963, AX: 6.14, AY: -1.45, AZ: -7.84, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.06
Timestamp: 143006, AX: 6.12, AY: -1.48, AZ: -7.85, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.15
Timestamp: 143049, AX: 6.15, AY: -1.51, AZ: -7.92, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.15
Timestamp: 143092, AX: 6.12, AY: -1.35, AZ: -7.88, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.20
Timestamp: 143135, AX: 6.11, AY: -1.46, AZ: -7.91, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.06
Timestamp: 143178, AX: 6.12, AY: -1.44, AZ: -7.91, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.06
Timestamp: 143221, AX: 6.11, AY: -1.46, AZ: -7.85, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.01
Timestamp: 143264, AX: 6.12, AY: -1.48, AZ: -7.92, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.01
Timestamp: 143307, AX: 6.12, AY: -1.45, AZ: -7.96, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.06
Timestamp: 143350, AX: 6.12, AY: -1.44, AZ: -7.95, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.15
Timestamp: 143393, AX: 6.11, AY: -1.44, AZ: -7.92, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.11
Timestamp: 143436, AX: 6.08, AY: -1.45, AZ: -7.98, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.06
Timestamp: 143480, AX: 6.12, AY: -1.50, AZ: -8.00, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.06
Timestamp: 143523, AX: 6.14, AY: -1.42, AZ: -7.95, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.06
Timestamp: 143566, AX: 6.16, AY: -1.41, AZ: -7.92, GX: 0.04, GY: -0.01, GZ: 0.02, Temp: 28.20
Timestamp: 143609, AX: 6.20, AY: -1.45, AZ: -7.90, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.11
Timestamp: 143652, AX: 6.10, AY: -1.43, AZ: -7.88, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.06
Timestamp: 143696, AX: 6.12, AY: -1.46, AZ: -7.92, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.15
Timestamp: 143744, AX: 6.15, AY: -1.43, AZ: -7.96, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.15
Timestamp: 143787, AX: 6.12, AY: -1.43, AZ: -7.96, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.11
Timestamp: 143830, AX: 6.11, AY: -1.45, AZ: -7.82, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.06
Timestamp: 143873, AX: 6.07, AY: -1.45, AZ: -7.86, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.15
Timestamp: 143916, AX: 6.15, AY: -1.45, AZ: -7.86, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.11
Timestamp: 143959, AX: 6.09, AY: -1.47, AZ: -7.91, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.11
Timestamp: 144002, AX: 6.10, AY: -1.41, AZ: -7.87, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.15
Timestamp: 144045, AX: 6.14, AY: -1.45, AZ: -7.82, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.15
Timestamp: 144090, AX: 6.17, AY: -1.48, AZ: -7.85, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.01
Timestamp: 144133, AX: 6.15, AY: -1.45, AZ: -7.87, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.11
Timestamp: 144176, AX: 6.06, AY: -1.48, AZ: -7.92, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.06
Timestamp: 144219, AX: 6.10, AY: -1.44, AZ: -7.87, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.06
Timestamp: 144262, AX: 6.08, AY: -1.53, AZ: -7.92, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.11
Timestamp: 144306, AX: 6.15, AY: -1.46, AZ: -8.01, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.11
Timestamp: 144349, AX: 6.16, AY: -1.47, AZ: -7.88, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.15
Timestamp: 144392, AX: 6.09, AY: -1.52, AZ: -7.91, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.15
Timestamp: 144435, AX: 6.13, AY: -1.43, AZ: -7.90, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.15
Timestamp: 144478, AX: 6.03, AY: -1.46, AZ: -7.95, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.20
Timestamp: 144521, AX: 6.11, AY: -1.45, AZ: -7.84, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.15
Timestamp: 144564, AX: 6.07, AY: -1.44, AZ: -7.93, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.06
Timestamp: 144607, AX: 6.12, AY: -1.42, AZ: -7.93, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.20
Timestamp: 144650, AX: 6.13, AY: -1.46, AZ: -7.89, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.11
